gate_id,gate_name,phase,bmm_phase,required_patterns,verification_tests,blocking,checklist_file,pass_criteria,fail_recovery,dependencies,soft_gate_steps,entry_workflows,exit_workflows,web_queries,verification_owner
QG-SA1,Security Audit,operations,6-operations,"access_control_reviewed,vulnerability_assessed,pentest_results_reviewed,compliance_verified,tenant_isolation_verified,incident_history_reviewed","access_control_reviewed,vulnerability_assessed,tenant_isolation_verified",true,qg-security-audit.md,All CRITICAL items pass;No critical/high findings open;Evidence collected,Prioritize critical findings for remediation,QG-P1,N/A,bmad-bam-quarterly-operations-trigger,bmad-bam-security-audit-execution,security audit SaaS {date};compliance audit multi-tenant {date},BAM
QG-PR1,Performance Review,operations,6-operations,"baseline_compared,capacity_assessed,sla_verified,tenant_performance_analyzed,cost_efficiency_reviewed,optimizations_documented","baseline_compared,capacity_assessed,sla_verified",true,qg-performance-review.md,All CRITICAL metrics within targets;SLAs met;Capacity runway adequate,Identify and remediate critical metrics,QG-P1,N/A,bmad-bam-quarterly-operations-trigger,bmad-bam-performance-review-execution,performance review SaaS {date};capacity planning multi-tenant {date},BAM
QG-AI1,AI Safety Evaluation Gate,ai-safety,4-implementation,"prompt_injection_prevented,guardrails_active,tool_permissions_verified,kill_switch_functional,escalation_configured","prompt_injection_prevented,guardrails_active,kill_switch_functional",true,qg-ai1-ai-safety.md,AI safety guardrails verified;Prompt injection prevented;Kill switch <100ms;Tool permissions correct,Run ai-eval-safety-design workflow,QG-M3,"2,4",bmad-bam-agent-runtime-architecture,bmad-bam-production-readiness,AI agent safety guardrails best practices {date};prompt injection prevention LLM {date};AI kill switch patterns {date},BAM
QG-DR1,Disaster Recovery Drill,operations,6-operations,"dr_plan_documented,rto_rpo_defined,failover_tested,recovery_validated,runbook_verified","failover_tested,recovery_validated",true,qg-disaster-recovery-drill.md,DR plan tested;RTO/RPO targets met;Failover successful;Recovery procedures validated,Run disaster recovery drill workflow,QG-P1,N/A,bmad-bam-quarterly-operations-trigger,bmad-bam-disaster-recovery-drill,disaster recovery testing SaaS {date},BAM
QG-CP1,Capacity Planning,operations,6-operations,"capacity_baseline_established,growth_projected,scaling_thresholds_defined,resource_allocation_verified","capacity_baseline_established,scaling_thresholds_defined",true,qg-capacity-planning.md,Capacity baseline established;Growth projections documented;Scaling thresholds configured;Resources allocated,Run capacity planning workflow,QG-P1,"2,4",bmad-bam-quarterly-operations-trigger,bmad-bam-capacity-planning-review,capacity planning multi-tenant {date},BAM
QG-CS1,Cost Optimization,operations,6-operations,"cost_baseline_established,optimization_opportunities_identified,tenant_attribution_verified,budget_alerts_configured","cost_baseline_established,tenant_attribution_verified",true,qg-p1-production-readiness.md,Cost baseline established;Optimization opportunities documented;Tenant cost attribution accurate;Budget alerts active,Run cost optimization workflow,QG-P1,"2,3",bmad-bam-monthly-operations-trigger,bmad-bam-cost-optimization-review,cost optimization validation SaaS {date},BAM
QG-AI2,AI Observability,ai-ops,6-operations,"llm_metrics_collected,token_usage_tracked,latency_monitored,cost_per_request_calculated,quality_metrics_defined","llm_metrics_collected,latency_monitored",true,qg-ai-observability.md,LLM metrics collected;Token usage tracked per tenant;Latency within targets;Quality metrics baselined,Run AI observability setup workflow,QG-M3,"2,4",bmad-bam-agent-runtime-architecture,bmad-bam-production-readiness,LLM observability validation {date},BAM
QG-AI3,Agent Contract Validation,ai-safety,4-implementation,"action_contracts_validated,8_field_schema_complete,confidence_thresholds_set,proof_certificates_configured,loop_bindings_verified","action_contracts_validated,8_field_schema_complete,confidence_thresholds_set",true,qg-ai3-agent-contracts.md,All 8 contract fields defined;Confidence thresholds configured;Proof certificates enabled;Loop bindings verified,Run action-contract-design workflow,QG-M3,"2,4",bmad-bam-agent-runtime-architecture,bmad-bam-prg-gate-setup,AI agent action contract patterns {date};multi-tenant agent safety contracts {date},BAM
QG-DC1,Data Classification,compliance,5-quality,"classification_scheme_defined,data_inventory_complete,sensitivity_labels_applied,handling_procedures_documented","classification_scheme_defined,sensitivity_labels_applied",true,qg-m2-tenant-isolation.md,Data classification scheme defined;All data inventoried;Sensitivity labels applied;Handling procedures documented,Run data classification workflow,QG-S3,"2,3",bmad-bam-tenant-model-isolation,bmad-bam-data-protection,data classification validation {date},BAM
QG-MG1,Migration Gate,operations,6-operations,"migration_plan_approved,rollback_tested,data_validation_complete,tenant_impact_assessed,communication_sent","migration_plan_approved,rollback_tested,data_validation_complete",true,qg-p1-production-readiness.md,Migration plan approved;Rollback tested successfully;Data validation complete;Tenant communication sent,Run migration validation workflow,QG-P1,"1,2",bmad-bam-database-migration-pipeline,bmad-bam-database-migration-pipeline,database migration gates {date},BAM
QG-OC,Operations Continuous,operations,6-operations,"postmortem_process_complete,action_items_tracked,operational_metrics_collected,continuous_improvement_active","postmortem_process_complete,action_items_tracked",true,qg-operations-continuous.md,Postmortem completion rate >95%;Action item completion >80%;Operational metrics tracked,Run postmortem-process workflow,QG-PD1,N/A,bmad-bam-incident-response-operations,bmad-bam-production-readiness,postmortem process best practices {date};operations continuous improvement {date},BAM
QG-CC,Compliance Continuous,operations,6-operations,"gdpr_compliant,soc2_compliant,evidence_collection_active,audit_ready,tenant_compliance_tracked","gdpr_compliant,soc2_compliant,audit_ready",true,qg-compliance-continuous.md,All compliance scores >=90%;Evidence collection automated;Audit-ready state maintained,Run compliance-verification workflow,"QG-S3,QG-S6",N/A,bmad-bam-production-readiness,bmad-bam-compliance-verification,continuous compliance monitoring {date};audit automation {date},BAM
QG-DEV1,Pre-Commit Validation,development,4-implementation,code-quality,lint pass;type check pass;unit tests pass;no secrets committed,true,qg-dev1-pre-commit.md,All pre-commit checks pass;No security violations;Unit tests green,Fix identified issues before committing,,N/A,bmad-bam-dev-trigger,bmad-bam-dev-trigger,pre-commit hooks best practices {date};code quality gates {date},BAM
QG-TC1,Tenant Unit Coverage,testing,5-quality,testing-isolation,unit coverage >90% for tenant code,true,qg-tc1-tenant-unit-coverage.md,All tenant-scoped code has >90% unit test coverage,Run tenant-model-isolation workflow,QG-M2,"3,5",bmad-bam-tenant-model-isolation,bmad-bam-convergence-verification,tenant unit test coverage patterns {date};multi-tenant testing best practices {date},TEA
QG-TC2,RLS Policy Coverage,testing,5-quality,"testing-isolation,rls-patterns",100% RLS policy test coverage,true,qg-tc2-rls-coverage.md,All RLS policies have corresponding tests,Run tenant-model-isolation workflow,QG-TC1,"3,5",bmad-bam-tenant-model-isolation,bmad-bam-convergence-verification,RLS policy testing patterns {date};PostgreSQL RLS test coverage {date},TEA
QG-TC3,Cross-Tenant Test Coverage,testing,5-quality,"testing-isolation,testing-agent-safety",100% cross-tenant boundary tests,true,qg-tc3-cross-tenant-coverage.md,All data access paths have cross-tenant blocking tests,Run convergence-verification workflow,QG-TC2,"3,5",bmad-bam-convergence-verification,bmad-bam-production-readiness,cross-tenant security testing {date};tenant boundary test patterns {date},TEA
QG-BV1,Billing Validation,monetization,5-quality,"usage_tracking_verified,invoice_accuracy_verified,quota_enforcement_verified,payment_processing_verified","usage_tracking_verified,invoice_accuracy_verified,payment_processing_verified",true,qg-bv1-billing-validation.md,Usage matches invoices;Quota enforcement accurate;Payment processing verified,Run usage-metering-design workflow,QG-P1,"2,4",bmad-bam-usage-metering-design,bmad-bam-production-readiness,SaaS billing best practices multi-tenant {date};revenue recognition ASC 606 SaaS {date};usage metering patterns {date},BAM
QG-CE1,Chaos Engineering,resilience,5-quality,"failure_injection_tested,recovery_verified,blast_radius_contained,runbooks_validated","failure_injection_tested,recovery_verified,blast_radius_contained",true,qg-ce1-chaos-engineering.md,Critical failure scenarios tested;Recovery verified;Blast radius contained;Runbooks validated,Run chaos-engineering-design workflow,QG-P1,"3,5",bmad-bam-disaster-recovery-design,bmad-bam-production-readiness,chaos engineering best practices multi-tenant {date};resilience testing SaaS platforms {date};blast radius containment {date},BAM
QG-LT1,Load Testing,performance,5-quality,"load_test_coverage_complete,baselines_documented,scalability_verified,tenant_isolation_verified","load_test_coverage_complete,baselines_documented,tenant_isolation_verified",true,qg-lt1-load-testing.md,Critical paths load tested;Performance baselines documented;Tenant isolation verified under load,Run performance-baseline workflow,QG-P1,"3,5",bmad-bam-auto-scaling-configuration,bmad-bam-production-readiness,load testing best practices multi-tenant SaaS {date};performance baseline documentation {date};noisy neighbor prevention {date},BAM
QG-PRG,Production-Readiness Gate,production,5-quality,"action_contracts_validated,tenant_isolation_verified,rollback_tested,audit_trail_complete,resource_budgets_configured,confidence_thresholds_set,loop_bindings_verified,observability_instrumented,chaos_test_passed,human_review_signoff","tenant_isolation_verified,action_contracts_validated,audit_trail_complete,confidence_thresholds_set,human_review_signoff",true,qg-prg-production.md,All 10 PRG checks pass;All critical checks pass,Run prg-gate-setup workflow,"QG-I1,QG-I2,QG-I3",N/A,bmad-bam-convergence-verification,bmad-bam-production-readiness,production readiness gate AI systems {date};multi-tenant PRG checklist {date};AI deployment safety gate {date},BAM
