pattern_id,name,category,decision_criteria,signals,intent,variants,decision_questions,web_queries,verification_gate,dependencies,conflicts,skill_level_notes,related_fragments,consolidated_guide,section_anchor,phase
usage-metering,Usage Metering,monetization,Use for billing/metering: track resource usage,"billing,quotas,limits",Track resource usage,request-based;storage-based;compute-based;feature-based,What usage dimensions to track?;Real-time or batch metering?;Overage handling?,usage-based billing patterns {date};SaaS metering {date},QG-P1,tenant-isolation,,Basic: API request counting;Advanced: Multi-dimensional metering,usage-metering;billing-integration-patterns,cost-patterns-guide.md,usage-metering,production
compliance,Compliance Framework,security,"Use when implementing meet regulatory requirements with signals: GDPR,SOC2,HIPAA,regulations","GDPR,SOC2,HIPAA,regulations",Meet regulatory requirements,data-residency;audit-logging;encryption;retention,What regulations apply?;Data residency requirements?;Audit trail depth?,SaaS compliance patterns {date};data sovereignty {date},QG-P1,tenant-isolation,,Basic: Audit logging;Advanced: Full compliance framework,sso-integration-patterns;data-sovereignty-patterns;encryption-patterns,security-patterns-guide.md,compliance,production
deployment,Deployment Strategy,operations,Use for operational concerns: safe production deployments,"CI/CD,releases,rollback",Safe production deployments,blue-green;canary;feature-flags;ring,What rollback speed needed?;Tenant-scoped deployments?;Feature flag strategy?,SaaS deployment strategies {date};feature flag patterns {date},QG-P1,infrastructure;containerization,,Basic: Blue-green;Advanced: Per-tenant canary,deployment;feature-toggle-patterns,operations-patterns-guide.md,deployment,production
testing-isolation,Testing Isolation,testing,Use when testing: verify tenant separation,"tenant separation,security testing",Verify tenant separation,unit;integration;chaos;penetration,What isolation tests needed?;Cross-tenant attack simulation?;Automated vs manual?,multi-tenant testing patterns {date};tenant isolation testing {date},QG-M2,tenant-isolation;test-data-management,,Basic: Unit tests with tenant context;Advanced: Chaos engineering,testing-tenant-isolation,testing-patterns-guide.md,testing-isolation,solutioning
testing-agent-safety,Agent Safety Testing,testing,Use when testing: verify agent controls,"AI safety,guardrails,limits",Verify agent controls,deterministic;stochastic;adversarial;regression,What safety properties to verify?;Adversarial testing needed?;Regression strategy?,AI agent safety testing {date};LLM testing patterns {date},QG-I3,ai-runtime,,Basic: Output validation;Advanced: Adversarial red teaming,testing-agent-safety,testing-patterns-guide.md,testing-agent-safety,integration
customization,Tenant Customization,tenant,Use for tenant management: per-tenant experience,"white-label,theming,branding",Per-tenant experience,theming;feature-flags;configuration;extensions,What customization dimensions?;Tenant vs tier-based?;Extension points?,SaaS customization patterns {date};white-label architecture {date},QG-M1,tenant-isolation,,Basic: Theme variables;Advanced: Full white-label,tenant-customization-patterns;white-labeling-guide,tenant-patterns-guide.md,customization,solutioning
experimentation,Experimentation Platform,tenant,Use for tenant management: data-driven decisions,"A/B testing,feature flags,analytics",Data-driven decisions,feature-flags;cohort-analysis;metrics,What experiments to run?;Statistical significance?;Tenant-scoped experiments?,SaaS experimentation platform {date};A/B testing patterns {date},QG-P1,tenant-isolation,,Basic: Feature flags;Advanced: Full experimentation platform,feature-toggle-patterns,tenant-patterns-guide.md,experimentation,production
llmops,LLMOps,ai-ops,Use when: llm lifecycle management,"model lifecycle,versioning,monitoring",LLM lifecycle management,model-registry;evaluation;deployment;monitoring,What models in use?;Version management strategy?;Model performance monitoring?,LLMOps best practices {date};ML model versioning {date},QG-M3,ai-runtime,,Basic: Model versioning;Advanced: Full MLOps pipeline,llmops;llm-versioning,ai-runtime-patterns-guide.md,llmops,solutioning
disaster-recovery,Disaster Recovery,operations,Use for operational concerns: business continuity,"backup,restore,business continuity",Business continuity,backup;restore;failover;geo-redundancy,What RPO/RTO targets?;Geo-redundancy needed?;Tenant-scoped recovery?,SaaS disaster recovery {date};multi-tenant backup patterns {date},QG-P1,tenant-isolation,,Basic: Regular backups;Advanced: Active-active geo,disaster-recovery,operations-patterns-guide.md,disaster-recovery,production
local-dev,Local Development,development,Use for development: developer environment,"developer experience,setup,tooling",Developer environment,containers;mocks;fixtures;seeding,What local setup complexity acceptable?;Multi-tenant simulation?;AI agent testing locally?,local development multi-tenant {date};developer experience patterns {date},none,tenant-isolation,,Basic: Docker compose;Advanced: Full tenant simulation,local-development-setup;parallel-development-guide,architecture-patterns-guide.md,local-dev,anytime
rate-limiting,Rate Limiting,operations,Use for operational concerns: per-tenant rate limiting,"high traffic variance,API abuse,resource exhaustion",Per-tenant rate limiting,token-bucket;sliding-window;fixed-window;adaptive,What rate limits per tier?;Burst handling needed?;Per-endpoint vs global limits?,rate limiting multi-tenant SaaS {date};token bucket per-tenant {date},QG-P1,tenant-routing,,Basic: Fixed rate per tenant;Advanced: Adaptive rate limiting with tier awareness,rate-limiting;api-gateway-patterns,operations-patterns-guide.md,rate-limiting,production
quota-management,Quota Management,monetization,Use for billing/metering: usage quota enforcement,"tier limits,usage caps,overage handling",Usage quota enforcement,hard-limit;soft-limit;overage-billing;throttle,What quota dimensions to enforce?;Overage billing or throttle?;Grace periods?,quota management SaaS {date};usage quota enforcement patterns {date},QG-P1,usage-metering,,Basic: Hard limits with blocking;Advanced: Soft limits with overage billing,quota-management;billing-integration-patterns,cost-patterns-guide.md,quota-management,production
tenant-routing,Tenant Routing,tenant-isolation,Use when: request routing to tenant context,"request routing,context switching,connection pooling",Request routing to tenant context,header-based;subdomain-based;path-based;token-based,How is tenant identified?;Connection pool strategy?;Caching strategy?,multi-tenant request routing {date};tenant context middleware {date},QG-M2,tenant-isolation,,Basic: Header-based routing;Advanced: Intelligent routing with connection pooling,tenant-routing;multi-tenant-patterns,tenant-patterns-guide.md,tenant-routing,solutioning
tenant-context-propagation,Context Propagation,tenant-isolation,Use when: context flow through services,"context passing,async context,distributed tracing",Context flow through services,thread-local;async-context;correlation-id;baggage,How to propagate across async boundaries?;Distributed tracing integration?;Context serialization?,tenant context propagation async {date};distributed context multi-tenant {date},QG-M2,tenant-routing,,Basic: Thread-local context;Advanced: Full async context with distributed tracing,context-propagation-patterns;observability,tenant-patterns-guide.md,tenant-context-propagation,solutioning
cost-tracking,Cost Tracking,monetization,Use for billing/metering: cost attribution per tenant,"cost allocation,resource attribution,billing data",Cost attribution per tenant,resource-tagging;usage-based;time-based;request-based,What cost dimensions to track?;Real-time or batch attribution?;Shared resource allocation?,cost allocation multi-tenant SaaS {date};tenant cost attribution {date},QG-P1,usage-metering;observability,,Basic: Request-based tracking;Advanced: Full resource attribution with shared cost allocation,cost-tracking;usage-metering,cost-patterns-guide.md,cost-tracking,production
performance-isolation,Performance Isolation,operations,Use for operational concerns: noisy neighbor prevention,"resource contention,performance variance,fair scheduling",Noisy neighbor prevention,resource-limits;priority-queues;fair-scheduling;isolation-pools,What resources to isolate?;Priority tiers needed?;Burst allowance?,noisy neighbor prevention {date};multi-tenant performance isolation {date},QG-I2,rate-limiting;tenant-routing,,Basic: Resource limits per tenant;Advanced: Priority-based scheduling with isolation pools,performance-isolation;rate-limiting,operations-patterns-guide.md,performance-isolation,integration
data-residency,Data Residency,compliance,"Use for compliance requirements: GDPR, data sovereignty, regional requirements","GDPR,data sovereignty,regional requirements",Geographic data storage,region-pinning;geo-routing;cross-region-sync;data-localization,What regions required?;Cross-region access patterns?;Compliance certification needs?,data residency multi-tenant SaaS {date};GDPR data sovereignty patterns {date},QG-P1,tenant-routing;compliance,,Basic: Region pinning at signup;Advanced: Dynamic geo-routing with compliance automation,data-residency;compliance,governance-patterns-guide.md,data-residency,production
encryption-key-management,Encryption Key Management,security,"Use when implementing cmk/kms patterns with signals: per-tenant keys,key rotation,HSM integration","per-tenant keys,key rotation,HSM integration",CMK/KMS patterns,shared-keys;per-tenant-keys;customer-managed-keys;hybrid,Who manages keys?;Rotation frequency?;HSM requirements?,per-tenant encryption keys {date};CMK multi-tenant KMS {date},QG-P1,tenant-isolation;compliance,,Basic: Shared keys with tenant isolation;Advanced: Customer-managed keys with HSM integration,encryption-patterns;compliance,security-patterns-guide.md,encryption-key-management,production
idempotency,Idempotency,architecture,Use when: idempotent api operations,"duplicate requests,retry safety,API reliability",Idempotent API Operations,idempotency-keys;request-deduplication;at-least-once-delivery,What retry patterns needed?;How to handle duplicate requests?;Idempotency key storage?,{date} idempotency patterns REST API;{date} idempotent operations distributed systems,QG-M1,api-gateway,,Basic: Idempotency keys in headers;Advanced: Distributed deduplication with TTL,api-gateway-patterns;event-driven-patterns,architecture-patterns-guide.md,idempotency,solutioning
caching-strategy,Caching Strategy,operations,Use for operational concerns: multi-level caching,"high read volume,response latency,tenant data caching",Multi-Level Caching,local-cache;distributed-cache;cdn;write-through;write-behind,What cache invalidation strategy?;Per-tenant cache isolation?;Cache warming needed?,{date} multi-tenant caching patterns;{date} cache invalidation strategies SaaS,QG-M2,tenant-routing,,Basic: Simple key-value cache;Advanced: Multi-level with tenant-aware invalidation,rate-limiting;performance-isolation,operations-patterns-guide.md,caching-strategy,solutioning
background-jobs,Background Jobs,operations,Use for operational concerns: tenant-aware async jobs,"async processing,long-running tasks,scheduled work",Tenant-Aware Async Jobs,queue-based;scheduled;event-triggered;batch-processing,How to propagate tenant context?;Job priority per tier?;Retry and dead-letter handling?,{date} tenant-aware background jobs;{date} async job processing multi-tenant,QG-M3,event-driven,,Basic: Simple queue with tenant header;Advanced: Priority queues with tenant context propagation,event-driven-patterns;tenant-routing,operations-patterns-guide.md,background-jobs,solutioning
file-storage,File Storage,tenant,Use for tenant management: tenant-scoped file storage,"blob storage,file uploads,document management",Tenant-Scoped File Storage,bucket-per-tenant;prefix-isolation;metadata-tagging;signed-urls,What isolation level for files?;CDN distribution needed?;Lifecycle policies per tenant?,{date} tenant isolated file storage;{date} multi-tenant blob storage patterns,QG-M2,tenant-isolation,,Basic: Prefix-based isolation;Advanced: Bucket-per-tenant with cross-region replication,tenant-isolation;data-residency,tenant-patterns-guide.md,file-storage,solutioning
session-management,Session Management,security,"Use when implementing tenant session management with signals: tenant sessions,session isolation,SaaS sessions","tenant sessions,session isolation,SaaS sessions",Tenant Session Management,scoped-sessions;session-per-tenant;shared-session-store,What compliance requirements apply?;Session timeout policies?;Cross-device session handling?,{date} multi-tenant session management;{date} session isolation SaaS,QG-M2,tenant-isolation,,Basic: Tenant-scoped session tokens;Advanced: Full session isolation with compliance audit,tenant-isolation;compliance,security-patterns-guide.md,session-management,solutioning
webhook-delivery,Webhook Delivery,integration,"Use when integrating modules with webhooks, event delivery, tenant notifications","webhooks,event delivery,tenant notifications",Tenant Webhook Delivery,at-least-once;exactly-once;retry-queues,Delivery guarantees needed?;Retry strategy?;Dead letter handling?,{date} webhook delivery patterns;{date} tenant webhook management,QG-I1,event-driven,,Basic: At-least-once with retries;Advanced: Exactly-once with idempotency,event-driven-patterns;tenant-routing,integration-patterns-guide.md,webhook-delivery,integration
api-throttling,Api Throttling,operations,Use for operational concerns: api throttling per tenant,"rate limits,API abuse,tenant quotas",API Throttling per Tenant,fixed-window;sliding-window;token-bucket;adaptive,What rate limits per tier?;Burst handling needed?;Per-endpoint vs global limits?,{date} API throttling multi-tenant;{date} tenant rate limiting patterns,QG-M2,tenant-routing,,Basic: Fixed rate limits per tenant;Advanced: Adaptive throttling with tier awareness,rate-limiting;quota-management,operations-patterns-guide.md,api-throttling,solutioning
data-archival,Data Archival,operations,Use for operational concerns: tenant data archival,"data retention,archival policies,tenant lifecycle",Tenant Data Archival,time-based;storage-based;compliance-based;tiered,What retention periods required?;Archive vs delete?;Retrieval requirements?,{date} data archival multi-tenant;{date} tenant data lifecycle,QG-I2,compliance,,Basic: Time-based archival policies;Advanced: Compliance-driven with retrieval SLAs,compliance;saas-lifecycle,operations-patterns-guide.md,data-archival,integration
notification-system,Notification System,integration,"Use when integrating modules with notifications, alerts, tenant messaging","notifications,alerts,tenant messaging",Multi-Tenant Notifications,email;push;in-app;multi-channel,What channels needed?;Tenant customization?;Delivery tracking?,{date} multi-tenant notifications;{date} SaaS notification patterns,QG-I1,event-driven,,Basic: Email notifications;Advanced: Multi-channel with tenant preferences,event-driven-patterns;tenant-routing,integration-patterns-guide.md,notification-system,integration
search-indexing,Search Indexing,operations,Use for operational concerns: tenant search indexing,"search,indexing,tenant isolation",Tenant Search Indexing,shared-index;index-per-tenant;filtered-search,What search capabilities needed?;Index isolation requirements?;Real-time vs batch indexing?,{date} multi-tenant search indexing;{date} Elasticsearch tenant isolation,QG-M2,tenant-isolation,,Basic: Filtered search on shared index;Advanced: Index-per-tenant with custom analyzers,tenant-isolation;performance-isolation,operations-patterns-guide.md,search-indexing,solutioning
circuit-breaker,Circuit Breaker,architecture,Use when: circuit breaker patterns,"resilience,fault tolerance,distributed systems",Circuit Breaker Patterns,closed;open;half-open;bulkhead,What failure scenarios to handle?;Recovery strategy?;Fallback behavior?,{date} circuit breaker patterns;{date} resilience patterns microservices,QG-M1,resilience,,Basic: Simple circuit breaker;Advanced: Hierarchical with bulkhead isolation,agent-resilience-patterns;api-gateway-patterns,architecture-patterns-guide.md,circuit-breaker,solutioning
retry-policies,Retry Policies,architecture,Use when: retry and backoff policies,"retries,backoff,transient failures",Retry and Backoff Policies,immediate;linear;exponential;jitter,What retry limits?;Backoff strategy?;Idempotency requirements?,{date} retry patterns distributed systems;{date} exponential backoff best practices,QG-M1,event-driven,,Basic: Exponential backoff;Advanced: Adaptive with circuit breaker integration,agent-resilience-patterns;event-driven-patterns,architecture-patterns-guide.md,retry-policies,solutioning
mcp-server-isolation,Mcp Server Isolation,ai,Use for AI/agent workloads requiring mcp server tenant isolation,"MCP server,tenant context,tool isolation",MCP Server Tenant Isolation,shared-server;tenant-server;hybrid-mcp,What MCP servers needed?;Tenant context propagation?;Tool permission model?,{date} MCP server multi-tenant;{date} Model Context Protocol isolation,QG-M3,tool-execution,,Basic: Shared MCP with tenant filter;Advanced: Per-tenant MCP instances,tool-execution;agent-runtime-patterns,ai-runtime-patterns-guide.md,mcp-server-isolation,solutioning
mcp-client-patterns,Mcp Client Patterns,ai,Use for AI/agent workloads requiring mcp client integration,"MCP client,agent integration,tool discovery",MCP Client Integration,direct-client;pooled-client;gateway-client,How to discover MCP tools?;Connection pooling strategy?;Client lifecycle management?,{date} MCP client patterns;{date} Model Context Protocol integration,QG-M3,mcp-server-isolation,,Basic: Direct client per agent;Advanced: Connection pooling with tenant routing,tool-execution;agent-runtime-patterns,ai-runtime-patterns-guide.md,mcp-client-patterns,solutioning
agent-coordination,Agent Coordination,ai,Use for AI/agent workloads requiring multi-agent coordination,"multi-agent,collaboration,orchestration",Multi-Agent Coordination,sequential;parallel;hierarchical;swarm,How many agents needed?;Communication protocol?;Coordination complexity?,{date} multi-agent coordination patterns;{date} agent swarm orchestration,QG-M3,ai-runtime,,Basic: Sequential handoff;Advanced: Swarm with emergent behavior,agent-runtime-patterns;event-driven-patterns,ai-runtime-patterns-guide.md,agent-coordination,solutioning
agent-negotiation,Agent Negotiation,ai,Use for AI/agent workloads requiring agent negotiation protocols,"consensus,voting,conflict resolution",Agent Negotiation Protocols,voting;auction;contract-net;consensus,How to resolve agent conflicts?;Voting mechanism?;Consensus threshold?,{date} agent negotiation protocols;{date} multi-agent consensus,QG-M3,agent-coordination,,Basic: Simple majority voting;Advanced: Contract net with utility functions,multi-agent-coordination;saga-orchestration-patterns,ai-runtime-patterns-guide.md,agent-negotiation,solutioning
model-fine-tuning,Model Fine Tuning,ai-lifecycle,Use when: design tenant-specific model fine-tuning,"tenant data isolation,training quotas,model versioning",Design tenant-specific model fine-tuning,LoRA;QLoRA;full-fine-tuning;adapter-tuning,What fine-tuning method?;Tenant data isolation level?;Training quota management?,LLM fine-tuning multi-tenant {date};model training isolation patterns {date},QG-M3,ai-runtime,,Basic: Shared fine-tuning;Advanced: Tenant-isolated training pipelines,model-fine-tuning-guide;llmops,ai-lifecycle-patterns-guide.md,model-fine-tuning,solutioning
model-deployment,Model Deployment,ai-lifecycle,Use when: safe model deployment pipeline,"canary deployment,tenant rollout,rollback procedures",Safe model deployment pipeline,blue-green;canary;ring-deployment;shadow,Rollout strategy per tenant tier?;Rollback automation?;A/B testing needed?,model deployment pipeline {date};ML model release strategies {date},QG-AI1,model-fine-tuning,,Basic: Blue-green deployment;Advanced: Per-tenant canary with automatic rollback,llm-versioning;llmops,ai-lifecycle-patterns-guide.md,model-deployment,solutioning
model-versioning,Model Versioning,ai-lifecycle,Use when: model registry and versioning,"version control,model registry,tenant model mapping",Model registry and versioning,semantic;timestamp;hash-based;hybrid,Version scheme for models?;Tenant-specific models?;Model lineage tracking?,ML model versioning best practices {date};model registry patterns {date},QG-M3,model-fine-tuning,,Basic: Semantic versioning;Advanced: Full lineage with tenant mapping,llmops;model-fine-tuning-guide,ai-lifecycle-patterns-guide.md,model-versioning,solutioning
llm-cost-tracking,Llm Cost Tracking,cost-optimization,Use when: llm cost attribution and tracking,"token metering,cost attribution,budget alerts",LLM cost attribution and tracking,per-request;per-session;per-tenant;aggregate,Cost attribution granularity?;Real-time vs batch tracking?;Budget alert thresholds?,LLM cost tracking multi-tenant {date};AI cost optimization {date},QG-P1,usage-metering,,Basic: Per-request token counting;Advanced: Full cost attribution with allocation,llm-cost-optimization-guide;usage-metering,cost-patterns-guide.md,llm-cost-tracking,production
token-budgeting,Token Budgeting,cost-optimization,Use when: token budget enforcement,"per-tenant limits,budget enforcement,overage handling",Token budget enforcement,hard-limit;soft-limit;throttle;burst-allowance,Budget enforcement strategy?;Overage handling?;Per-tier limits?,token budget management {date};LLM usage quotas {date},QG-P1,llm-cost-tracking,,Basic: Hard limits per tenant;Advanced: Adaptive budgets with burst,llm-cost-optimization-guide;quota-management,cost-patterns-guide.md,token-budgeting,production
prompt-catalog,Prompt Catalog,ai-lifecycle,Use when: prompt library management,"prompt versioning,tenant prompts,prompt testing",Prompt library management,centralized;distributed;hybrid;tenant-specific,Prompt organization strategy?;Version control approach?;A/B testing needed?,prompt management systems {date};prompt library patterns {date},QG-M3,ai-runtime,,Basic: Centralized catalog;Advanced: Tenant-specific with inheritance,prompt-catalog-guide;llmops,ai-lifecycle-patterns-guide.md,prompt-catalog,solutioning
vector-database,Vector Database,ai-lifecycle,Use when: design vector database architecture for multi-tenant ai,"vector storage,semantic search,embeddings persistence",Design vector database architecture for multi-tenant AI,pinecone;weaviate;qdrant;pgvector;milvus,What scale of vectors expected?;Tenant isolation for vectors?;Real-time vs batch indexing?,vector database multi-tenant {date};embedding storage patterns {date};pgvector vs dedicated vector db {date},QG-M3,ai-runtime,,Basic: Shared collection with tenant filtering;Advanced: Namespace-per-tenant with hybrid search,memory-tiers;tenant-isolation,ai-lifecycle-patterns-guide.md,vector-database,solutioning
embedding-strategy,Embedding Strategy,ai-lifecycle,Use when: select and manage embedding models for tenant data,"embedding models,text embeddings,multimodal embeddings",Select and manage embedding models for tenant data,openai-embeddings;sentence-transformers;cohere;custom-fine-tuned,What embedding dimensions needed?;Tenant-specific embeddings?;Cost vs quality tradeoff?,embedding model selection {date};multi-tenant embedding patterns {date};embedding fine-tuning strategies {date},QG-M3,vector-database,,Basic: Shared embedding model;Advanced: Tenant-specific fine-tuned embeddings,model-fine-tuning-guide;memory-tiers,ai-lifecycle-patterns-guide.md,embedding-strategy,solutioning
agent-memory-optimization,Agent Memory Optimization,ai,Use for AI/agent workloads requiring optimize agent memory usage across tiers,"memory efficiency,context window,token optimization",Optimize agent memory usage across tiers,context-compression;memory-pruning;hierarchical-summary;sliding-window,What memory persistence needed?;Token budget constraints?;Cross-session continuity?,agent memory optimization {date};LLM context window management {date};memory-efficient agents {date},QG-M3,memory-tiers,,Basic: Fixed context window;Advanced: Hierarchical memory with compression,memory-tiers;llm-cost-optimization-guide;cost-tracking,ai-runtime-patterns-guide.md,agent-memory-optimization,solutioning
llm-observability,Llm Observability,operations,Use for operational concerns: implement llm-specific observability and debugging,"LLM monitoring,prompt tracing,model performance",Implement LLM-specific observability and debugging,langsmith;langfuse;helicone;phoenix;custom,What LLM metrics to track?;Prompt versioning integration?;Cost attribution granularity?,LLM observability platforms {date};prompt tracing best practices {date};LLM debugging patterns {date},QG-P1,observability,,Basic: Request logging with tokens;Advanced: Full prompt tracing with evaluation,observability;llmops;cost-tracking,operations-patterns-guide.md,llm-observability,production
tenant-sandbox,Tenant Sandbox,tenant,Use for tenant management: provision isolated development sandboxes per tenant,"development environment,testing isolation,demo instances",Provision isolated development sandboxes per tenant,ephemeral;persistent;cloned;synthetic-data,What sandbox lifecycle policy?;Data seeding approach?;Production parity level?,tenant sandbox provisioning {date};development environment multi-tenant {date};ephemeral environment patterns {date},QG-P1,tenant-isolation,,Basic: Shared dev environment with tenant prefix;Advanced: Fully isolated ephemeral sandboxes,local-development-setup;tenant-onboarding-patterns;testing-tenant-isolation,tenant-patterns-guide.md,tenant-sandbox,production
prompt-management,Prompt Management,ai-lifecycle,Use when: manage prompt lifecycle and optimization,"prompt engineering,prompt versioning,prompt templates",Manage prompt lifecycle and optimization,template-based;dynamic-generation;a-b-testing;version-control,How to version prompts?;A/B testing strategy?;Prompt template inheritance?,prompt engineering best practices {date};prompt versioning systems {date};LLM prompt management {date},QG-M3,ai-runtime,,Basic: Static prompt templates;Advanced: Dynamic prompts with A/B testing,prompt-catalog-guide;llmops;agent-runtime-patterns,ai-lifecycle-patterns-guide.md,prompt-management,solutioning
billing-integration,Billing Integration,monetization,Use for billing/metering: integrate billing and payment systems,"payment processing,subscription management,invoice generation",Integrate billing and payment systems,stripe;paddle;chargebee;custom-billing,What payment processor?;Subscription model complexity?;Multi-currency support?,SaaS billing integration {date};subscription management patterns {date};usage-based billing {date},QG-P1,usage-metering,,Basic: Simple subscription billing;Advanced: Usage-based with overage,usage-metering;cost-tracking;tenant-lifecycle,cost-patterns-guide.md,billing-integration,production
ai-runtime-config,Ai Runtime Config,ai,Use for AI/agent workloads requiring configure ai model runtime parameters,"model configuration,inference settings,runtime parameters",Configure AI model runtime parameters,temperature;max-tokens;timeout;retry-policy;model-selection,What inference parameters?;Per-tenant model selection?;Fallback configuration?,LLM configuration best practices {date};model inference optimization {date};AI runtime configuration {date},QG-M3,ai-runtime,,Basic: Global configuration;Advanced: Per-tenant model routing,agent-runtime-patterns;llmops;run-contracts,ai-runtime-patterns-guide.md,ai-runtime-config,solutioning
tenant-analytics,Tenant Analytics,operations,Use for operational concerns: implement tenant-scoped analytics and reporting,"usage analytics,business intelligence,reporting dashboards",Implement tenant-scoped analytics and reporting,embedded-analytics;export-api;custom-dashboards;real-time-metrics,What analytics dimensions?;Self-service vs managed?;Data export requirements?,multi-tenant analytics {date};embedded BI SaaS {date};tenant reporting patterns {date},QG-P1,observability,,Basic: Pre-built dashboards;Advanced: Self-service analytics,observability;cost-tracking;usage-metering,operations-patterns-guide.md,tenant-analytics,production
sso-authentication,Sso Authentication,security,"Use when implementing implement enterprise sso and identity federation with signals: enterprise SSO,SAML,OIDC,identity federation","enterprise SSO,SAML,OIDC,identity federation",Implement enterprise SSO and identity federation,saml-2-0;oidc;ldap;scim-provisioning,What IdP protocols supported?;JIT provisioning needed?;Session management strategy?,enterprise SSO SaaS {date};SAML OIDC integration {date};multi-tenant authentication {date},QG-S5,tenant-isolation,,Basic: OIDC only;Advanced: Full SAML + SCIM provisioning,sso-integration-patterns;tenant-routing,security-patterns-guide.md,sso-authentication,solutioning
