section_name,patterns,workflows,checklists,web_research_level,description,web_queries
data-anonymization,"compliance,data-residency,data-encryption","tenant-data-anonymization,compliance-design,tenant-data-export",,WEB_REQUIRED,Data anonymization including classification and verification,"data anonymization best practices {date};k-anonymity l-diversity implementation {date};PII detection machine learning {date};GDPR anonymization requirements {date};multi-tenant data anonymization patterns {date}"
sandbox-provisioning,"tenant-sandbox,local-dev,testing-isolation","tenant-sandbox-provisioning,tenant-onboarding-design",,WEB_OPTIONAL,Sandbox environment provisioning for tenant testing,"SaaS sandbox environment provisioning {date};test data seeding best practices {date};tenant sandbox isolation patterns {date}"
feature-rollout,"feature-flags,deployment,model-deployment","tenant-feature-rollout,tenant-tier-migration",,WEB_OPTIONAL,Tenant-specific feature rollout with canary releases,"feature flag management SaaS {date};canary deployment multi-tenant {date};feature rollout best practices {date}"
continuous-compliance,"compliance,audit-immutability,observability","compliance-continuous-verification,compliance-design",,WEB_REQUIRED,Continuous compliance monitoring and automated verification,"continuous compliance monitoring SaaS {date};compliance automation best practices {date};audit trail automation {date}"
incident-response,"disaster-recovery,resilience,alert-routing","tenant-incident-response,security-review,disaster-recovery-design",production-readiness.md,WEB_REQUIRED,Tenant-specific incident response procedures,"incident response SaaS {date};multi-tenant incident management {date};incident communication best practices {date}"
database-patterns,"connection-pooling,query-routing,tenant-db-context,migration-per-tenant","tenant-model-isolation,tenant-data-migration",tenant-isolation.md,WEB_REQUIRED,Multi-tenant database patterns and connection management,"multi-tenant database patterns {date}"
rag-patterns,"rag-retrieval,rag-generation,embedding-management,vector-database","rag-pipeline-design,agent-runtime-architecture",qg-m3-agent-runtime.md,WEB_REQUIRED,RAG architecture patterns for multi-tenant AI applications,"RAG architecture patterns {date}"
caching-patterns,"cdn-caching,edge-caching,tenant-cache-isolation,cache-warming","tenant-model-isolation,multi-region-architecture",,WEB_OPTIONAL,Multi-tenant caching strategies and cache isolation,"multi-tenant caching patterns {date}"
event-patterns,"event-sourcing,cqrs,saga-orchestration,saga-choreography,dead-letter-queue","convergence-verification,internal-contract-design",qg-i1-convergence.md,WEB_REQUIRED,Event-driven architecture patterns for multi-tenant systems,"event driven architecture patterns {date}"
access-control,"rbac,abac,zero-trust,secrets-management","security-review,tenant-api-key-management","qg-i2-tenant-safety.md,production-readiness.md",WEB_REQUIRED,Access control patterns including RBAC ABAC and zero-trust,"access control patterns SaaS {date}"
ai-observability,"llm-observability,distributed-tracing,apm-integration","tenant-aware-observability,ai-eval-safety-design",qg-i3-agent-safety.md,WEB_REQUIRED,LLM observability patterns and AI-specific monitoring,"LLM observability patterns {date}"
agent-resilience,"agent-fallback,circuit-breaker,retry-policies,tool-result-caching","agent-runtime-architecture,ai-agent-debug",qg-m3-agent-runtime.md,WEB_OPTIONAL,Agent resilience patterns for fault tolerance and recovery,"agent resilience patterns {date}"
ai-red-teaming,"ai-safety,ai-testing,run-contracts,testing-agent-safety","ai-security-testing,ai-eval-safety-design,penetration-testing-design","qg-i3-agent-safety.md,qg-m3-agent-runtime.md",WEB_REQUIRED,Adversarial AI testing including prompt injection and red teaming,"AI red teaming methodology {date};LLM prompt injection testing {date};multi-tenant AI security adversarial {date}"
chaos-engineering,"resilience,disaster-recovery,testing-isolation","chaos-engineering-design,disaster-recovery-design,tenant-incident-response",production-readiness.md,WEB_REQUIRED,Resilience testing through controlled failure injection,"chaos engineering multi-tenant SaaS {date};fault injection distributed systems {date};AI agent resilience testing {date}"
sla-management,"observability,usage-metering,health-scoring","tenant-sla-monitoring,sla-contract-design,sli-slo-definition,tenant-health-monitoring",production-readiness.md,WEB_REQUIRED,SLA design SLI SLO definition and error budget management,"SaaS SLA design patterns {date};error budget policy SRE {date};multi-tenant SLI monitoring {date}"
ai-coordination,"agent-coordination,agent-memory-optimization,ai-batch,ai-streaming-design","agent-runtime-architecture,agent-handoff-design",qg-m3-agent-runtime.md,WEB_REQUIRED,AI agent coordination patterns including batch and streaming,"AI agent coordination patterns {date};multi-agent orchestration LangGraph {date};AI batch processing patterns {date};AI streaming design {date}"
analytics-patterns,"analytics,dashboard,reporting","tenant-aware-observability,tenant-health-monitoring,usage-metering-design",,WEB_OPTIONAL,Analytics and dashboard patterns for multi-tenant SaaS,"SaaS analytics dashboard patterns {date};multi-tenant business intelligence {date};tenant analytics isolation {date}"
api-patterns,"api-design,api-gateway,api-throttling","api-version-release,tenant-api-key-management,define-facade-contract",,WEB_REQUIRED,API design gateway and rate limiting patterns for multi-tenant APIs,"API gateway multi-tenant patterns {date};API throttling rate limiting SaaS {date};API design best practices {date}"
