module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs,keywords
bam,bmad-bam-cross-module-story,Cross-Module Story,ZWS,Create stories spanning multiple modules,run,,2-planning,bmad-bam-module-epics,,false,{output_folder}/planning-artifacts,cross-module-story.md,"cross-module,story,integration,dependencies,coordination"
bam,bmad-bam-tenant-onboarding,Tenant Onboarding,ZWO,Design tenant onboarding workflow,run,,3-solutioning,bmad-bam-tenant-isolation,,false,{output_folder}/planning-artifacts,tenant-onboarding.md,"tenant,onboarding,provisioning,signup,workflow"
bam,bmad-bam-tenant-offboarding,Tenant Offboarding,ZWX,Design tenant offboarding and data retention,run,,3-solutioning,bmad-bam-tenant-onboarding,,false,{output_folder}/planning-artifacts,tenant-offboarding.md,"tenant,offboarding,retention,cleanup,gdpr"
bam,bmad-bam-observability,Observability,ZOB,Design tenant-aware observability,run,,3-solutioning,bmad-bam-master-architecture,,false,{output_folder}/planning-artifacts,observability.md,"observability,monitoring,logging,metrics,tracing"
bam,bmad-bam-scaling,Scaling Design,ZSC,Design horizontal and vertical scaling,run,,3-solutioning,bmad-bam-master-architecture,,false,{output_folder}/planning-artifacts,scaling.md,"scaling,horizontal,vertical,performance,capacity"
bam,bmad-bam-events,Event Architecture,ZEV,Design event-driven architecture,run,,3-solutioning,bmad-bam-module-architecture,,false,{output_folder}/planning-artifacts,events.md,"events,architecture,messaging,async,pubsub"
bam,bmad-bam-agent-debug,Agent Debug,ZAD,Debug tenant-scoped agent issues,run,,4-implementation,bmad-bam-agent-runtime,,false,{output_folder}/planning-artifacts,agent-debug.md,"agent,debug,troubleshooting,tenant,issues"
bam,bmad-bam-agent-tracing,Agent Tracing,ZAT,Configure agent execution tracing,run,,3-solutioning,bmad-bam-agent-runtime,,false,{output_folder}/planning-artifacts,agent-tracing.md,"agent,tracing,execution,telemetry,spans"
bam,bmad-bam-tool-contracts,Tool Contracts,ZTC,Define MCP tool contracts,run,,3-solutioning,bmad-bam-agent-runtime,,false,{output_folder}/planning-artifacts,tool-contracts.md,"mcp,tools,contracts,schema,validation"
bam,bmad-bam-memory-tiers,Memory Tiers,ZMT,Design agent memory tier architecture,run,,3-solutioning,bmad-bam-agent-runtime,,false,{output_folder}/planning-artifacts,memory-tiers.md,"memory,tiers,agent,context,persistence"
bam,bmad-bam-llm-versioning,LLM Versioning,ZLV,Design LLM model versioning strategy,run,,3-solutioning,bmad-bam-agent-runtime,,false,{output_folder}/planning-artifacts,llm-versioning.md,"llm,versioning,models,deployment,rollback"
bam,bmad-bam-caching,Caching Strategy,ZCA,Design tenant-aware caching,run,,3-solutioning,bmad-bam-tenant-isolation,,false,{output_folder}/planning-artifacts,caching.md,"caching,redis,tenant,performance,invalidation"
bam,bmad-bam-security,Security Architecture,ZSE,Design tenant security architecture,run,,3-solutioning,bmad-bam-tenant-isolation,,false,{output_folder}/planning-artifacts,security.md,"security,architecture,authentication,authorization,rbac"
bam,bmad-bam-compliance,Compliance Mapping,ZCO,Map compliance requirements,run,,3-solutioning,bmad-bam-security,,false,{output_folder}/planning-artifacts,compliance.md,"compliance,regulatory,gdpr,soc2,hipaa"
bam,bmad-bam-data-residency,Data Residency,ZDR,Design data residency and sovereignty,run,,3-solutioning,bmad-bam-compliance,,false,{output_folder}/planning-artifacts,data-residency.md,"data,residency,sovereignty,region,gdpr"
bam,bmad-bam-white-labeling,White Labeling,ZWL,Design white-labeling for enterprise tier,run,,3-solutioning,bmad-bam-tenant-isolation,,false,{output_folder}/planning-artifacts,white-labeling.md,"white-label,branding,enterprise,customization,themes"
bam,bmad-bam-billing,Billing Architecture,ZBI,Design usage metering and billing,run,,3-solutioning,bmad-bam-tenant-isolation,,false,{output_folder}/planning-artifacts,billing.md,"billing,metering,usage,subscription,payments"
bam,bmad-bam-testing,Testing Strategy,ZTE,Design tenant testing with TEA integration,run,,3-solutioning,bmad-bam-tenant-isolation,,false,{output_folder}/planning-artifacts,testing.md,"testing,tea,tenant,isolation,strategy"
bam,bmad-bam-research,Research,ZRS,Conduct technology and market research,run,,anytime,,,false,{output_folder}/planning-artifacts,research.md,"research,technology,market,analysis,evaluation"
bam,bmad-bam-api-versioning,API Versioning,ZAV,Design API versioning strategy,run,,3-solutioning,bmad-bam-facade-contract,,false,{output_folder}/planning-artifacts,api-versioning.md,"api,versioning,deprecation,compatibility,migration"
bam,bmad-bam-auth-integration,Authentication Integration,ZAI,Design SSO OAuth and API key authentication architecture,run,,3-solutioning,bmad-bam-security,,true,{output_folder}/planning-artifacts,auth-integration.md,"authentication,sso,oauth,saml,oidc,api-key,session"
